,width,N,R,Run,AgentId,Capacity,Conquered,Land Owned,Scaling A,Scaling B
2938,15,30,30,1,8,148,"[(4, 3), (4, 2), (4, 2), (4, 3), (4, 3), (4, 3), (4, 3), (4, 2), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 2), (4, 2), (4, 2), (4, 2), (4, 3), (4, 3), (4, 2), (4, 3), (4, 3), (4, 2), (4, 2), (4, 2), (4, 3), (4, 2), (4, 2), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 2), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 2), (4, 2), (4, 2), (4, 3), (4, 2), (4, 3), (4, 3), (4, 3), (4, 2), (4, 2), (4, 2), (4, 2), (4, 3), (4, 3), (4, 2), (4, 2), (4, 2), (4, 3), (4, 3), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 3), (4, 3), (4, 2), (4, 2), (4, 3), (4, 2), (4, 2), (4, 3)]","[(3, 2), (3, 1), (3, 2), (3, 1)]",8,267
2937,15,30,30,1,7,60,"[(0, 12), (1, 1), (2, 0), (2, 2), (2, 2), (2, 1), (2, 2), (1, 2), (2, 1), (1, 1), (1, 2), (1, 1), (1, 2), (1, 1), (1, 2), (1, 2), (2, 2), (2, 2), (2, 2), (2, 2), (2, 2), (1, 1), (14, 0), (14, 1), (13, 2), (14, 0), (14, 1), (13, 2), (13, 2), (13, 2), (13, 2), (13, 2), (13, 2), (13, 2), (11, 2), (11, 2), (11, 2), (12, 1), (12, 1), (12, 1), (11, 2), (11, 2), (11, 2), (12, 1), (12, 1), (11, 2), (11, 2), (11, 2), (11, 2), (12, 1)]","[(13, 11), (12, 9), (13, 9), (14, 9), (12, 10), (14, 10), (0, 11), (13, 12), (13, 13), (14, 13), (1, 13), (14, 14), (0, 14), (0, 0), (13, 14), (13, 14), (13, 0), (11, 0)]",3,180
2936,15,30,30,1,6,59,"[(10, 9), (12, 11), (13, 12), (13, 12), (13, 13), (12, 13), (13, 12), (13, 13), (12, 13), (13, 12), (13, 13), (12, 13), (13, 11), (13, 12), (13, 11), (13, 11), (13, 11), (13, 12), (13, 12), (13, 11), (12, 10), (10, 12), (10, 13), (12, 13), (13, 12), (13, 13), (12, 13), (13, 11), (11, 10), (10, 11), (11, 10), (11, 10), (12, 9), (12, 10), (10, 13), (12, 13), (13, 13), (10, 13)]","[(8, 9), (8, 8), (8, 7), (9, 7), (9, 9), (10, 10), (11, 8), (10, 10), (12, 11), (12, 11), (11, 8), (10, 9), (10, 9), (11, 8), (11, 8), (10, 9), (10, 10), (9, 11), (9, 12), (10, 11)]",2,173
2935,15,30,30,1,5,105,"[(8, 5), (8, 5), (8, 5), (7, 5), (7, 5), (6, 5), (6, 5), (8, 8), (8, 9), (10, 10), (10, 10), (8, 12), (10, 12), (8, 12), (11, 12), (12, 1), (13, 2), (13, 2), (13, 2), (11, 2), (11, 2), (11, 2), (12, 1), (11, 2), (12, 1), (12, 1), (11, 2), (12, 1), (11, 2), (12, 1), (12, 1), (12, 1), (12, 1), (11, 2), (12, 1)]","[(2, 2), (3, 2), (4, 2), (2, 3), (4, 3), (2, 4), (3, 4), (5, 3), (4, 5), (5, 4), (4, 6), (5, 6), (5, 7), (6, 7), (6, 8), (6, 9), (7, 10), (8, 9), (9, 12), (9, 13), (10, 14), (11, 13), (12, 13), (13, 14), (13, 0), (10, 1), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0), (10, 1), (11, 0)]",4,212
2934,15,30,30,1,4,80,"[(2, 12), (4, 14), (4, 13), (5, 12), (6, 12), (5, 13), (9, 11), (9, 11), (8, 10), (7, 10), (7, 9), (7, 10), (7, 11), (5, 6), (6, 5), (6, 7), (7, 9), (11, 12), (10, 12), (10, 10)]","[(2, 11), (1, 10), (2, 10), (3, 11), (3, 10), (4, 10), (5, 10), (7, 9), (6, 11), (7, 11), (8, 10), (7, 9), (6, 9), (4, 8), (4, 6), (4, 5), (4, 5), (7, 9), (8, 10)]",2,169
2932,15,30,30,1,2,55,"[(4, 9), (3, 8), (3, 9), (2, 10), (1, 10), (1, 10), (1, 10), (2, 9), (1, 11), (1, 11), (1, 11), (1, 10), (1, 10), (1, 10), (1, 10), (1, 11), (1, 9), (1, 9), (1, 10), (13, 11), (13, 12), (13, 11), (13, 11), (13, 12), (13, 11), (13, 11), (13, 11), (13, 12), (13, 11), (13, 11), (13, 11), (13, 12), (13, 11), (13, 11), (13, 11), (13, 11), (13, 11), (13, 12), (13, 12), (13, 11), (13, 11), (13, 11), (13, 12)]","[(1, 6), (2, 6), (3, 6), (1, 7), (14, 8), (0, 9), (0, 9), (0, 8), (0, 11), (1, 11), (0, 12), (14, 12), (13, 11), (12, 11), (12, 11), (12, 11), (12, 11), (12, 11), (12, 11), (12, 11), (12, 11), (12, 10), (12, 11), (12, 10)]",1,170
2955,15,30,30,1,25,54,"[(4, 3), (3, 4), (4, 3), (4, 3), (4, 2), (4, 2), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 3), (4, 2), (4, 2), (4, 2), (4, 2), (4, 3), (4, 3), (4, 3), (4, 2), (4, 3)]","[(1, 5), (2, 5), (3, 5), (2, 4), (3, 1), (3, 1), (3, 2), (3, 1), (3, 2), (3, 1)]",2,157
331,10,20,20,1,11,155,"[(2, 9), (1, 9), (2, 9), (6, 7), (7, 7), (8, 7), (6, 7), (5, 7), (7, 8), (8, 7), (4, 9), (5, 9), (5, 0), (3, 8), (3, 8), (6, 9), (3, 8), (3, 8), (3, 8), (3, 8), (3, 8), (3, 8), (3, 8), (5, 9), (5, 9), (5, 9), (3, 8), (4, 9), (3, 8), (2, 9), (1, 9)]","[(9, 7), (8, 8), (0, 7), (0, 7), (9, 7), (8, 6), (5, 5), (3, 8), (3, 8), (3, 8), (5, 8), (3, 8), (3, 8), (3, 8), (3, 8), (3, 8), (3, 8), (3, 8), (2, 7), (3, 8), (2, 7), (3, 8), (2, 7), (3, 8), (3, 8), (2, 7), (3, 8), (2, 7), (3, 8), (3, 8), (2, 7), (3, 8), (2, 7), (3, 8), (2, 7), (3, 8), (2, 7), (3, 8), (2, 7), (3, 8), (2, 7), (9, 7), (8, 6), (7, 6)]",1,203
333,10,20,20,1,13,86,"[(5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (4, 4), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (4, 4), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (4, 4), (5, 3), (5, 3), (4, 4), (4, 4), (5, 3), (5, 3), (5, 3), (5, 3), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (5, 3), (5, 3), (4, 4), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (5, 3), (5, 3), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (4, 4), (4, 4), (4, 4), (4, 4), (5, 3), (4, 4), (5, 3), (4, 4), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (4, 4), (4, 4), (4, 4), (5, 3), (5, 3), (5, 3), (5, 3)]","[(3, 3), (4, 2)]",2,341
2790,15,30,20,1,10,67,"[(7, 3), (6, 4), (7, 3), (7, 4), (8, 3), (7, 3), (7, 4), (6, 4), (7, 4), (7, 3), (7, 3), (7, 3), (7, 4), (7, 3), (6, 5), (7, 3), (7, 4), (7, 5), (8, 5), (4, 7), (5, 6), (3, 6), (3, 6), (3, 6), (2, 6), (3, 6), (2, 6), (2, 6), (2, 6), (2, 6), (2, 5), (2, 5), (2, 6), (2, 6), (2, 6), (2, 5), (2, 6), (2, 6), (2, 5), (2, 6), (2, 6), (2, 6), (2, 6), (2, 5), (2, 5), (2, 6), (2, 6), (2, 5), (2, 5), (2, 5), (2, 6), (2, 6), (2, 5)]","[(3, 14), (4, 14), (3, 0), (5, 0), (3, 1), (6, 0), (6, 1), (4, 2), (7, 1), (8, 1), (5, 3), (6, 2), (6, 2), (5, 4), (5, 3), (6, 4), (7, 3), (8, 2), (8, 3), (6, 5), (5, 4)]",2,203
2789,15,30,20,1,9,55,"[(6, 5), (5, 6), (5, 7), (6, 4), (7, 5), (6, 5), (4, 7), (4, 8), (6, 8), (5, 7), (4, 8), (3, 8), (4, 7), (4, 8), (6, 9), (6, 9), (5, 9), (5, 9), (4, 8), (3, 8), (3, 7), (7, 5), (6, 4), (7, 5), (7, 3), (6, 4), (7, 5), (6, 5), (7, 5), (6, 5), (5, 6), (6, 8)]","[(3, 4), (1, 6), (1, 5), (3, 7), (3, 6), (5, 3), (5, 4), (5, 4), (5, 4), (6, 4)]",1,179
2788,15,30,20,1,8,60,"[(2, 14), (1, 0), (1, 0), (0, 14), (0, 14), (0, 14), (0, 14), (0, 14), (0, 14), (14, 14), (14, 14), (13, 13), (13, 13), (13, 13), (13, 13), (13, 13), (13, 13), (13, 13), (13, 13), (14, 14), (13, 13), (13, 13), (14, 14), (13, 13), (14, 14), (14, 14), (14, 14), (14, 14), (14, 14), (14, 14), (13, 13), (14, 14), (14, 14), (14, 14), (13, 13), (14, 14), (14, 14), (13, 14), (13, 13), (13, 13), (14, 14), (13, 13), (14, 14), (13, 13), (14, 14), (13, 14), (13, 13), (14, 14), (13, 14)]","[(2, 13), (1, 12), (13, 13), (12, 12), (13, 13), (13, 13), (12, 12), (13, 13), (12, 12), (13, 13), (12, 12), (12, 12), (13, 13)]",3,187
2787,15,30,20,1,7,97,"[(5, 1), (4, 3), (2, 5), (2, 6), (2, 5), (2, 5), (2, 6), (2, 5), (6, 4), (5, 3), (5, 4), (2, 6), (3, 5), (4, 5), (6, 5), (5, 4), (3, 6), (3, 6), (3, 6), (4, 5), (8, 4), (10, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (9, 5), (8, 5), (7, 5), (7, 6), (7, 5)]","[(14, 1), (0, 1), (1, 1), (14, 2), (1, 2), (14, 3), (0, 3), (1, 3), (0, 2), (2, 2), (3, 1), (1, 4), (2, 3), (3, 3), (1, 4), (2, 5), (6, 2), (5, 3), (8, 4), (6, 4)]",1,201
2786,15,30,20,1,6,109,"[(4, 11), (6, 11), (6, 12), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (6, 12), (6, 12), (7, 11), (6, 12), (7, 11), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (6, 12), (6, 12), (5, 13), (5, 13), (5, 13), (6, 12), (6, 12), (6, 12), (6, 12), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (6, 12), (6, 12), (5, 13), (5, 13), (6, 12), (6, 12), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (5, 13), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12)]","[(1, 6), (2, 6), (3, 6), (1, 7), (1, 8), (2, 8), (4, 7), (4, 8), (5, 8), (5, 9), (6, 9), (4, 12), (4, 12), (4, 12), (5, 11)]",1,275
2785,15,30,20,1,5,139,"[(5, 0), (5, 0), (6, 0), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12)]","[(5, 13), (3, 13), (4, 13), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (5, 11), (4, 12)]",4,206
2784,15,30,20,1,4,60,"[(14, 14), (13, 13), (12, 13), (12, 13), (11, 13), (10, 10), (10, 9), (10, 9), (10, 10), (10, 10), (10, 10), (10, 9), (10, 10), (10, 9), (10, 10), (11, 11), (10, 10), (11, 11), (12, 13), (11, 11), (11, 14), (12, 2), (12, 3), (14, 3), (14, 3), (14, 3), (13, 3), (12, 3), (13, 3), (12, 3)]","[(9, 14), (7, 14), (8, 14), (9, 13), (10, 13), (10, 11), (9, 8), (9, 9), (10, 11), (10, 11), (10, 10), (10, 13), (10, 14), (11, 0), (10, 1), (11, 2)]",4,164
2783,15,30,20,1,3,52,"[(9, 8), (11, 9), (9, 8), (11, 7), (12, 8), (12, 8), (12, 8), (12, 8), (13, 7), (13, 7), (13, 6), (13, 7), (13, 6), (12, 8), (12, 8), (11, 9), (10, 10), (11, 10), (12, 8), (12, 8), (11, 9), (10, 10), (11, 12), (11, 11), (11, 12), (11, 11), (11, 11), (11, 12), (11, 11), (10, 10), (11, 11), (6, 12), (6, 12), (6, 12), (6, 12), (5, 13), (5, 13), (5, 13), (5, 13)]","[(9, 6), (8, 5), (10, 7), (9, 8), (10, 4), (10, 5), (11, 5), (11, 4), (12, 4), (12, 6), (9, 8), (9, 8), (9, 8), (9, 8), (9, 9), (9, 9), (9, 8), (9, 9), (9, 8), (8, 9), (7, 10), (6, 10), (5, 11), (5, 11)]",1,166
2782,15,30,20,1,2,64,"[(9, 12), (8, 13), (8, 13), (8, 13), (14, 14), (13, 13), (12, 14), (13, 13), (13, 13), (14, 14), (13, 13), (14, 14), (14, 14), (14, 14), (14, 14), (13, 13), (13, 13), (14, 14), (14, 14), (14, 14), (13, 13), (14, 14), (13, 14), (14, 14), (13, 14), (12, 0), (12, 2), (14, 3), (14, 3), (13, 3), (12, 3), (13, 3), (12, 3), (11, 2), (13, 3)]","[(7, 11), (7, 12), (9, 11), (10, 11), (11, 11), (10, 14), (12, 12), (12, 12), (12, 12), (12, 12), (13, 13), (12, 12), (12, 12), (13, 13), (12, 12), (13, 13), (12, 13), (12, 12), (13, 13), (10, 0), (11, 0), (10, 2), (10, 1), (9, 0), (9, 1), (9, 2), (11, 2), (11, 1), (11, 2), (11, 2)]",2,190
2781,15,30,20,1,1,66,"[(1, 12), (4, 14), (3, 0), (4, 1), (5, 3), (4, 4), (3, 5), (4, 7), (4, 8), (4, 8), (4, 8), (4, 7), (6, 8), (7, 9), (6, 10), (8, 8), (7, 9), (6, 10), (8, 9), (7, 9), (7, 11), (6, 11), (5, 13), (6, 12), (7, 11), (5, 13), (5, 13), (5, 13), (6, 12), (6, 12)]","[(11, 7), (12, 7), (13, 7), (11, 8), (13, 8), (11, 9), (12, 9), (14, 8), (14, 9), (12, 10), (0, 10), (13, 11), (14, 11), (1, 10), (14, 12), (0, 13), (2, 13), (0, 14), (1, 14), (1, 0), (2, 0), (3, 2), (2, 3), (1, 4), (2, 5), (1, 5), (5, 8), (4, 8), (5, 11), (5, 11), (5, 11), (4, 12), (5, 11), (5, 11), (4, 12), (5, 11), (4, 12)]",1,188
2780,15,30,20,1,0,76,"[(1, 3), (1, 3), (1, 3), (2, 6), (14, 8), (14, 9), (14, 8), (13, 9), (13, 9), (13, 9), (13, 7), (13, 8), (13, 9), (13, 8), (14, 9), (13, 9), (13, 8), (13, 9), (14, 9), (14, 5), (0, 5), (0, 4), (0, 5), (0, 2), (14, 5), (0, 5), (14, 5), (0, 5), (0, 4), (0, 5), (13, 6), (14, 5), (13, 6), (0, 2), (14, 3), (0, 5), (0, 4), (0, 4)]","[(14, 2), (14, 5), (0, 6), (0, 7), (14, 7), (12, 6), (11, 7), (11, 7), (13, 8), (14, 7), (13, 8), (11, 7), (12, 6), (14, 3), (14, 3), (14, 3), (13, 2), (14, 3), (14, 3), (13, 2)]",1,223
3678,15,40,30,1,38,122,"[(12, 7), (12, 7), (11, 7), (11, 8), (11, 7), (11, 7), (11, 8), (11, 7), (11, 8), (11, 7), (11, 7), (11, 7), (11, 7), (11, 8), (11, 7), (11, 7), (11, 7), (11, 8), (11, 7), (11, 7), (11, 8), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 8), (12, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7), (11, 7)]","[(10, 5), (11, 7), (8, 4), (7, 6), (11, 6), (10, 6), (10, 6), (10, 6), (11, 6), (10, 6), (11, 6), (10, 6), (11, 6), (10, 6), (11, 6), (10, 6), (11, 6), (10, 6), (11, 6), (10, 6), (11, 6), (10, 6), (11, 6), (10, 6), (11, 6), (10, 6), (11, 6)]",1,173
3466,15,40,20,1,26,123,"[(4, 14), (3, 13), (3, 13), (3, 13), (4, 14), (3, 13), (4, 14), (3, 13), (4, 14), (3, 13), (4, 14), (3, 13), (3, 13), (3, 10), (0, 10), (0, 10), (7, 12), (1, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (1, 0), (1, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (1, 0)]","[(3, 13), (2, 12), (3, 11), (2, 10), (14, 9), (0, 8), (0, 8), (14, 9), (0, 8), (3, 10), (4, 11), (5, 12), (4, 13), (3, 13), (2, 12), (1, 13), (0, 14), (0, 14), (0, 14), (0, 14)]",2,174
4169,20,10,40,1,9,157,"[(15, 17), (14, 16), (13, 15), (15, 14), (15, 13), (14, 14), (15, 13), (14, 14), (15, 13), (16, 12), (18, 13), (19, 13), (0, 13), (0, 14), (0, 15), (4, 14), (3, 14), (0, 17), (0, 19), (1, 0), (4, 19), (1, 2), (1, 4), (2, 3), (1, 4), (4, 2), (4, 1), (5, 3), (6, 2), (5, 3), (6, 1), (8, 5), (9, 4), (8, 5), (9, 4), (8, 6)]","[(18, 1), (17, 0), (16, 1), (15, 0), (14, 19), (13, 17), (12, 18), (14, 18), (12, 19), (13, 19), (15, 18), (14, 17), (14, 16), (14, 11), (14, 10), (15, 10), (16, 10), (16, 11), (17, 11), (18, 11), (19, 11), (0, 11), (0, 12), (0, 13), (1, 12), (1, 13), (0, 14), (19, 15), (0, 16), (19, 17), (0, 18), (1, 19), (2, 19), (1, 0), (1, 1), (0, 2), (2, 2), (2, 1), (4, 1), (5, 2), (6, 3), (7, 2), (7, 5)]",1,224
4168,20,10,40,1,8,69,"[(7, 5), (8, 5), (9, 7), (14, 2), (15, 1), (18, 2), (17, 0), (18, 0), (19, 1), (19, 2), (18, 2), (19, 0), (17, 6), (17, 7), (17, 8), (17, 9), (17, 9), (17, 10), (18, 8), (17, 9), (17, 10), (17, 8), (18, 9), (17, 10), (19, 8), (18, 9), (16, 10), (17, 9), (17, 10), (15, 11), (16, 10)]","[(7, 10), (7, 12), (7, 11), (8, 12), (9, 11), (10, 11), (11, 10), (12, 10), (13, 10), (12, 9), (11, 8), (10, 7), (10, 6), (6, 3), (9, 3), (10, 4), (10, 5), (9, 6), (8, 5), (9, 4), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (11, 4), (12, 3), (11, 1), (8, 18), (9, 18), (10, 18), (8, 19), (10, 19), (8, 0), (9, 0), (11, 19), (11, 0), (9, 1), (10, 1), (13, 0), (12, 1), (13, 3), (13, 2), (13, 1), (14, 1), (15, 0), (18, 1), (17, 2), (16, 3), (15, 4), (13, 4), (14, 4), (15, 6), (15, 7), (16, 8), (13, 7), (14, 7)]",1,204
4167,20,10,40,1,7,69,"[(15, 17), (15, 17), (0, 18), (19, 17), (0, 18), (19, 17), (1, 14), (1, 16), (1, 16), (1, 16), (1, 16), (1, 16), (1, 16), (0, 16), (19, 17), (0, 16), (19, 0), (0, 19), (19, 0), (19, 0), (0, 19), (0, 19), (1, 19), (1, 19), (1, 19), (1, 19), (1, 19), (0, 18), (19, 17)]","[(18, 13), (17, 12), (15, 12), (16, 12), (15, 13), (17, 13), (17, 14), (16, 14), (15, 15), (16, 15), (18, 14), (1, 12), (1, 13), (19, 17)]",3,150
4166,20,10,40,1,6,155,"[(19, 19), (0, 1), (1, 3), (1, 4), (0, 5), (8, 8), (9, 9), (8, 10), (8, 11), (11, 11), (11, 12), (11, 14), (11, 13), (11, 15), (11, 14), (10, 16), (15, 14), (14, 14), (14, 16), (15, 17), (0, 19), (1, 19), (1, 19), (1, 19), (1, 19), (2, 0), (2, 1), (3, 0), (1, 4), (1, 7)]","[(16, 16), (13, 14), (14, 14), (15, 14), (15, 15), (13, 16), (16, 15), (14, 17), (16, 17), (16, 18), (17, 18), (17, 19), (18, 0), (18, 2), (19, 2), (19, 3), (18, 4), (18, 5), (18, 6), (19, 6), (1, 5), (1, 6), (0, 7), (1, 7), (2, 6), (3, 6), (3, 7), (1, 8), (2, 8), (3, 8), (4, 7), (3, 5), (5, 6), (6, 6), (6, 7), (4, 8), (5, 8), (6, 8), (7, 8), (6, 9), (6, 10), (6, 11), (7, 12), (7, 11), (8, 12), (9, 11), (9, 12), (9, 15), (10, 15), (12, 14), (13, 15), (15, 14), (16, 14), (15, 15), (14, 16), (14, 17), (15, 17), (17, 18), (18, 19), (0, 18), (0, 19), (0, 1)]",2,184
4165,20,10,40,1,5,108,"[(19, 0), (1, 0), (1, 19), (2, 0), (1, 0), (3, 0), (2, 0), (4, 14), (5, 13), (4, 15), (4, 18), (5, 1), (9, 15)]","[(1, 4), (0, 5), (19, 4), (18, 3), (17, 2), (19, 18), (19, 16), (3, 18), (2, 17), (2, 16), (2, 15), (2, 12), (3, 12), (3, 13), (3, 10), (4, 10), (2, 11), (4, 11), (5, 11), (5, 12), (3, 16), (4, 16), (5, 17), (5, 18), (4, 19), (5, 19), (6, 18), (7, 17), (6, 16), (6, 15), (6, 14), (6, 13), (7, 12), (7, 13), (8, 12), (7, 11), (7, 10)]",1,141
4164,20,10,40,1,4,66,"[(0, 15), (0, 18), (1, 19), (0, 18), (0, 18), (0, 17), (1, 19), (0, 18), (1, 17), (0, 18), (0, 18), (0, 18), (1, 19), (18, 2), (18, 2), (19, 2), (18, 2), (18, 3), (19, 2), (18, 3), (2, 3), (0, 6), (1, 4), (19, 6), (0, 6), (19, 6), (19, 8), (0, 8), (18, 10), (18, 9), (18, 10), (18, 10)]","[(19, 13), (0, 13), (19, 14), (19, 15), (19, 16), (19, 17), (0, 18), (19, 18), (18, 19), (18, 0), (19, 1), (0, 1), (0, 2), (19, 4), (18, 3), (19, 6), (17, 7), (17, 8)]",3,170
4163,20,10,40,1,3,64,"[(0, 18), (1, 18), (2, 19), (1, 19), (2, 19), (1, 19), (5, 3), (6, 2), (14, 1), (14, 3), (15, 3), (17, 4), (18, 3), (17, 4), (16, 5)]","[(5, 2), (4, 1), (3, 0), (2, 0), (1, 19), (3, 18), (3, 19), (2, 2), (3, 1), (4, 0), (6, 0), (4, 1), (5, 0), (6, 1), (5, 2), (6, 3), (7, 4), (8, 3), (9, 4), (10, 3), (11, 4), (12, 4), (13, 3), (11, 18), (12, 3), (13, 4), (14, 3), (14, 5), (13, 6), (12, 5), (11, 5), (10, 6), (10, 7)]",1,150
4162,20,10,40,1,2,54,"[(1, 19), (1, 19), (1, 19), (0, 19), (19, 0), (0, 2), (19, 2), (0, 5), (1, 7), (1, 8), (2, 8), (4, 12), (5, 12), (4, 12), (8, 14), (9, 15), (10, 16), (9, 16), (8, 19), (8, 0), (9, 0), (8, 3), (9, 2), (7, 4), (8, 3), (8, 5), (9, 4), (9, 7), (10, 6), (9, 7), (10, 6), (10, 7), (9, 7), (10, 7), (9, 7)]","[(4, 17), (4, 18), (3, 17), (2, 16), (0, 14), (1, 14), (2, 14), (2, 15), (0, 16), (1, 16), (3, 15), (2, 13), (3, 13), (4, 13), (4, 14), (4, 15), (5, 14), (1, 10), (0, 9), (19, 8), (19, 7), (19, 6), (19, 5), (18, 6), (18, 5), (18, 4), (18, 0), (17, 1), (16, 0), (15, 1), (15, 2), (16, 2), (16, 3), (17, 3), (17, 4), (19, 9), (2, 9), (0, 10), (3, 9), (1, 11), (5, 10), (3, 12), (4, 12), (6, 12), (6, 13), (6, 14), (7, 14), (7, 15), (6, 15), (6, 16), (6, 17), (7, 17), (8, 17), (6, 18), (6, 19), (7, 1), (9, 4)]",1,177
2791,15,30,20,1,11,172,"[(6, 12), (6, 12), (6, 12), (6, 12), (5, 13), (6, 12), (5, 13), (6, 12), (6, 12), (6, 12), (6, 12), (6, 12), (5, 13), (5, 13), (5, 13), (6, 12), (5, 13), (6, 12), (6, 12), (6, 12), (6, 12), (5, 13), (6, 12), (6, 12), (6, 12)]","[(4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12)]",3,208
332,10,20,20,1,12,56,"[(4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (5, 3), (4, 4), (4, 4), (4, 4), (5, 3), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (5, 3), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (4, 4), (5, 3), (5, 3), (5, 3), (4, 4), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (5, 3), (4, 4), (4, 4), (5, 3), (5, 3), (5, 3), (4, 4), (4, 4), (5, 3), (5, 3), (5, 3), (5, 3)]","[(0, 5), (0, 4), (3, 3), (4, 2), (3, 3), (4, 2)]",3,174
2792,15,30,20,1,12,74,"[(4, 11), (6, 12), (5, 13), (2, 14), (5, 13), (4, 13), (6, 12), (7, 12), (6, 12), (5, 13), (4, 14), (5, 13), (6, 12), (6, 12), (5, 13), (6, 12), (7, 12)]","[(2, 10), (3, 10), (3, 9), (3, 10), (3, 11), (3, 9), (3, 10), (2, 11), (1, 12), (2, 13), (4, 12), (4, 12), (5, 11), (4, 12), (4, 12), (5, 11), (4, 12), (4, 12), (5, 11), (4, 12), (5, 11), (4, 12), (5, 11), (5, 11), (5, 11), (4, 12), (4, 12), (5, 11), (5, 11), (4, 12), (4, 12), (5, 11), (4, 12)]",3,135
